Name,Category,Price,Quality
LegendsWarrior,Simulacion,33466,51
WarriorQuest,Deportes,66968,95
GalaxyWarrior,Simulacion,38037,11
LegendsQuest,Simulacion,22474,20
LegendsWarrior,Simulacion,68248,35
QuestDragon,Deportes,60873,31
EmpireEmpire,Aventura,40663,72
DragonLegends,Deportes,21999,21
GalaxyDragon,Estrategia,64832,51
GalaxyDragon,Simulacion,1375,71
LegendsQuest,Simulacion,58383,41
QuestEmpire,Deportes,22168,53
LegendsWarrior,Deportes,62563,94
GalaxyWarrior,Aventura,38550,54
LegendsWarrior,Simulacion,68940,34
EmpireDragon,Aventura,34939,42
WarriorWarrior,Deportes,27604,62
GalaxyQuest,Simulacion,39464,87
GalaxyWarrior,Simulacion,13534,21
EmpireEmpire,Simulacion,1534,15
DragonQuest,Aventura,43998,77
DragonEmpire,Aventura,65525,40
EmpireEmpire,Deportes,69817,95
EmpireWarrior,Deportes,21680,76
QuestLegends,Accion,64379,91
DragonWarrior,Aventura,52779,22
DragonDragon,Deportes,24494,3
EmpireWarrior,Simulacion,12270,55
GalaxyEmpire,RPG,22947,88
WarriorQuest,Aventura,17645,39
GalaxyQuest,Deportes,12986,80
LegendsDragon,RPG,47239,13
GalaxyWarrior,Estrategia,3092,87
DragonQuest,Estrategia,23764,36
EmpireWarrior,Simulacion,69208,4
QuestEmpire,Simulacion,3127,78
QuestWarrior,Aventura,4661,15
WarriorEmpire,RPG,59594,26
GalaxyLegends,Simulacion,29199,1
GalaxyEmpire,Simulacion,15911,80
WarriorWarrior,Deportes,6149,76
WarriorDragon,Aventura,47226,66
LegendsEmpire,Simulacion,21241,74
QuestLegends,Estrategia,21881,87
GalaxyGalaxy,RPG,15936,32
DragonEmpire,Aventura,17046,75
DragonGalaxy,Deportes,48167,23
QuestGalaxy,Estrategia,446,43
GalaxyDragon,RPG,58590,36
QuestLegends,Estrategia,25441,30
QuestGalaxy,Aventura,40073,69
QuestDragon,Aventura,59837,28
WarriorGalaxy,Accion,45885,31
DragonWarrior,Simulacion,38835,25
DragonDragon,Simulacion,54614,54
QuestEmpire,Accion,66403,60
QuestWarrior,RPG,59067,49
WarriorWarrior,Deportes,37095,58
EmpireGalaxy,Aventura,1862,16
WarriorGalaxy,RPG,13895,71
EmpireLegends,RPG,65799,3
EmpireEmpire,Deportes,41844,17
DragonEmpire,Estrategia,3324,38
EmpireQuest,RPG,29660,9
EmpireQuest,Aventura,40652,60
WarriorDragon,Aventura,14601,96
DragonLegends,Estrategia,25455,80
EmpireWarrior,Accion,4822,36
GalaxyDragon,Accion,54470,0
EmpireLegends,Aventura,56549,13
EmpireDragon,Estrategia,47376,81
WarriorLegends,Deportes,62536,19
QuestLegends,Accion,58480,28
LegendsEmpire,Estrategia,20312,86
DragonLegends,RPG,7322,84
GalaxyQuest,RPG,7587,33
GalaxyLegends,Simulacion,31053,45
EmpireWarrior,RPG,22401,19
GalaxyQuest,Aventura,7162,72
DragonWarrior,Simulacion,25154,0
QuestWarrior,RPG,41353,36
GalaxyQuest,Accion,6701,93
LegendsGalaxy,Simulacion,24397,64
DragonLegends,Simulacion,45746,32
QuestGalaxy,Aventura,27671,95
EmpireLegends,Aventura,11464,2
EmpireGalaxy,Deportes,62527,38
GalaxyGalaxy,Estrategia,19587,38
QuestWarrior,Deportes,41550,38
QuestGalaxy,Simulacion,23815,57
GalaxyDragon,RPG,69909,12
QuestDragon,Aventura,58149,17
QuestQuest,Estrategia,4439,84
LegendsWarrior,Accion,43483,45
DragonGalaxy,Aventura,49934,35
EmpireGalaxy,Accion,29698,51
WarriorDragon,Deportes,7131,46
LegendsDragon,RPG,22223,92
QuestWarrior,RPG,10151,5
GalaxyLegends,RPG,2260,63
QuestGalaxy,Deportes,39819,69
GalaxyQuest,Deportes,58643,63
EmpireDragon,Accion,47244,23
GalaxyQuest,Aventura,37655,83
DragonDragon,Aventura,40150,46
QuestEmpire,Deportes,27105,10
LegendsEmpire,Aventura,55190,82
GalaxyEmpire,Deportes,6680,58
GalaxyEmpire,Deportes,46042,29
LegendsGalaxy,Deportes,5898,47
GalaxyQuest,Estrategia,52690,33
GalaxyWarrior,Accion,60891,74
DragonGalaxy,Simulacion,53231,11
QuestLegends,Accion,31042,0
QuestQuest,RPG,32921,43
LegendsWarrior,Deportes,226,37
QuestWarrior,Accion,32976,74
QuestDragon,Simulacion,60817,99
WarriorGalaxy,Simulacion,22164,4
GalaxyWarrior,Simulacion,43073,29
EmpireLegends,Estrategia,32791,24
QuestEmpire,Estrategia,23958,56
WarriorLegends,RPG,2458,19
DragonQuest,Estrategia,54752,70
GalaxyGalaxy,Deportes,49340,73
WarriorGalaxy,RPG,37382,48
QuestDragon,RPG,66336,35
LegendsDragon,Simulacion,7596,88
GalaxyLegends,Accion,53645,82
QuestLegends,Estrategia,710,40
WarriorQuest,RPG,42071,40
QuestDragon,Aventura,60567,98
DragonDragon,Estrategia,55438,68
GalaxyEmpire,Estrategia,65042,23
GalaxyEmpire,RPG,68438,72
LegendsDragon,Aventura,33208,3
GalaxyGalaxy,Simulacion,23475,88
LegendsWarrior,RPG,35171,91
GalaxyEmpire,Accion,66857,7
WarriorQuest,Estrategia,2133,76
DragonQuest,Simulacion,33066,67
QuestDragon,Accion,15601,27
EmpireWarrior,Simulacion,10781,66
LegendsDragon,Aventura,2784,77
LegendsEmpire,Aventura,55552,61
DragonEmpire,Deportes,52535,40
QuestEmpire,Deportes,13663,52
WarriorWarrior,Aventura,22208,23
QuestGalaxy,RPG,8268,46
DragonDragon,Accion,50744,90
GalaxyGalaxy,RPG,40488,11
DragonLegends,Simulacion,26200,62
EmpireWarrior,Accion,25453,90
GalaxyLegends,Estrategia,17196,68
GalaxyGalaxy,Simulacion,52777,90
QuestQuest,Deportes,67240,6
LegendsEmpire,RPG,45128,84
EmpireLegends,Estrategia,27881,44
DragonEmpire,Accion,49635,41
QuestEmpire,Simulacion,28016,1
QuestEmpire,RPG,255,87
LegendsWarrior,RPG,36296,7
QuestQuest,Accion,64575,42
DragonEmpire,Accion,32610,85
QuestLegends,Estrategia,58805,46
DragonLegends,RPG,48662,91
GalaxyLegends,Estrategia,22104,84
LegendsGalaxy,Deportes,41424,25
DragonLegends,Estrategia,61608,82
DragonLegends,RPG,892,29
GalaxyEmpire,Aventura,60105,82
WarriorQuest,Simulacion,5339,64
GalaxyWarrior,Deportes,52042,63
QuestWarrior,Deportes,63431,4
DragonLegends,Aventura,34551,12
QuestEmpire,Accion,44643,69
DragonGalaxy,RPG,23434,66
WarriorEmpire,Deportes,57572,57
DragonDragon,RPG,29895,60
LegendsDragon,RPG,46472,8
WarriorGalaxy,Estrategia,8104,94
GalaxyQuest,Simulacion,21047,97
GalaxyEmpire,Deportes,64311,79
LegendsQuest,Estrategia,64070,56
GalaxyEmpire,Accion,53459,46
QuestEmpire,RPG,37656,57
EmpireDragon,Estrategia,24818,77
DragonQuest,Estrategia,35423,53
DragonQuest,RPG,53316,93
QuestLegends,Deportes,38690,96
LegendsQuest,Deportes,41957,12
DragonEmpire,Accion,54519,78
DragonDragon,RPG,16183,82
LegendsQuest,RPG,4066,100
DragonLegends,RPG,14539,76
QuestEmpire,Simulacion,67450,72
GalaxyDragon,Estrategia,69909,40
GalaxyDragon,Aventura,32093,93
DragonQuest,Aventura,29907,55
QuestQuest,Simulacion,15613,60
WarriorEmpire,Aventura,15396,100
LegendsLegends,Aventura,24734,33
QuestQuest,Aventura,49515,13
GalaxyGalaxy,Estrategia,43028,26
EmpireDragon,Estrategia,35098,78
EmpireLegends,RPG,1812,14
DragonWarrior,Estrategia,26812,60
EmpireWarrior,Estrategia,37695,19
WarriorDragon,Accion,38006,81
GalaxyGalaxy,Accion,56867,7
EmpireDragon,RPG,20635,11
QuestQuest,Simulacion,17785,25
GalaxyEmpire,Deportes,49160,68
QuestLegends,Deportes,25745,91
WarriorWarrior,Deportes,66843,38
DragonDragon,Simulacion,64909,85
GalaxyQuest,Accion,2630,57
QuestDragon,RPG,47546,88
LegendsLegends,Accion,22973,30
QuestQuest,Simulacion,26256,70
EmpireQuest,Simulacion,12769,89
QuestLegends,Simulacion,24460,75
LegendsGalaxy,Aventura,24782,80
WarriorDragon,Aventura,41274,69
GalaxyLegends,Deportes,7846,65
WarriorEmpire,Simulacion,26831,91
DragonLegends,Accion,39517,44
LegendsQuest,Aventura,64495,10
EmpireLegends,RPG,53334,93
WarriorGalaxy,Accion,58208,22
WarriorEmpire,Simulacion,5966,61
GalaxyLegends,Deportes,45186,58
GalaxyDragon,RPG,1600,17
DragonEmpire,Simulacion,54309,36
QuestDragon,Simulacion,29208,65
QuestWarrior,Simulacion,20492,4
EmpireQuest,RPG,32489,38
DragonDragon,Estrategia,29377,73
EmpireQuest,Aventura,64777,78
QuestEmpire,Simulacion,20380,40
EmpireGalaxy,RPG,57839,68
LegendsGalaxy,Estrategia,23064,91
DragonDragon,Aventura,56870,17
LegendsGalaxy,Aventura,66167,57
LegendsEmpire,Aventura,57636,26
QuestQuest,Accion,11467,77
WarriorWarrior,Accion,7140,65
WarriorLegends,Accion,23025,16
GalaxyGalaxy,Aventura,69188,44
LegendsQuest,Deportes,56987,99
GalaxyWarrior,Estrategia,27258,40
GalaxyLegends,Accion,22857,67
QuestLegends,Accion,20824,28
WarriorQuest,Estrategia,24632,15
DragonGalaxy,Estrategia,1872,41
QuestEmpire,Estrategia,24392,13
WarriorEmpire,Estrategia,14218,46
DragonLegends,Aventura,10179,73
LegendsEmpire,Simulacion,19289,90
WarriorQuest,Deportes,43927,88
QuestLegends,Simulacion,10742,88
EmpireGalaxy,Accion,66304,13
QuestWarrior,RPG,38715,73
GalaxyLegends,Estrategia,32469,78
QuestQuest,Accion,3002,0
LegendsLegends,Accion,27978,99
EmpireQuest,Accion,60530,48
LegendsQuest,RPG,65606,99
QuestEmpire,RPG,20834,49
LegendsDragon,Deportes,58093,83
LegendsDragon,Accion,59867,16
QuestWarrior,Deportes,3401,85
QuestWarrior,Estrategia,16872,89
LegendsEmpire,Aventura,23223,11
DragonQuest,RPG,19778,13
QuestWarrior,Deportes,28690,38
GalaxyLegends,Aventura,4667,63
DragonDragon,Estrategia,26182,8
QuestLegends,Deportes,42231,34
QuestGalaxy,Accion,57603,1
DragonDragon,Estrategia,35270,40
DragonEmpire,Estrategia,45415,40
DragonLegends,Deportes,26989,100
EmpireLegends,Estrategia,53328,38
DragonDragon,Aventura,14310,41
LegendsQuest,Deportes,37925,55
EmpireDragon,Estrategia,50256,34
GalaxyGalaxy,Simulacion,20472,52
EmpireQuest,RPG,2996,85
EmpireLegends,Estrategia,56134,37
LegendsDragon,Aventura,32870,25
EmpireWarrior,Accion,36907,93
EmpireEmpire,Simulacion,14586,89
DragonEmpire,Simulacion,19966,74
WarriorWarrior,RPG,50552,91
GalaxyLegends,Accion,22967,30
EmpireLegends,RPG,37193,84
EmpireGalaxy,Deportes,14359,74
GalaxyEmpire,RPG,20064,79
GalaxyQuest,Deportes,28063,97
QuestLegends,Simulacion,47169,8
QuestLegends,RPG,66188,10
WarriorWarrior,RPG,20398,32
QuestGalaxy,Deportes,57694,17
LegendsGalaxy,Deportes,49365,85
EmpireDragon,Simulacion,10168,8
WarriorGalaxy,Simulacion,61696,67
QuestWarrior,RPG,35901,74
DragonLegends,Aventura,58087,46
WarriorLegends,Deportes,13505,15
EmpireDragon,RPG,28881,28
DragonLegends,Accion,39252,49
QuestDragon,Aventura,4193,58
QuestEmpire,Accion,3253,11
EmpireLegends,Aventura,65061,89
LegendsDragon,Simulacion,18217,49
QuestLegends,Aventura,64208,81
DragonGalaxy,RPG,20193,58
DragonQuest,RPG,41678,95
GalaxyWarrior,Accion,29639,8
WarriorLegends,Accion,1899,80
EmpireGalaxy,Aventura,16550,36
GalaxyGalaxy,Accion,67241,61
DragonDragon,Estrategia,30652,48
LegendsEmpire,RPG,25481,58
LegendsDragon,Deportes,17490,98
GalaxyGalaxy,Deportes,68496,45
LegendsWarrior,Deportes,64939,67
LegendsQuest,RPG,32902,67
WarriorEmpire,Aventura,50192,15
GalaxyEmpire,Estrategia,61799,23
EmpireWarrior,Estrategia,40805,62
DragonDragon,Deportes,61258,99
DragonEmpire,Deportes,62015,12
DragonDragon,Aventura,67488,37
LegendsLegends,Estrategia,926,52
WarriorWarrior,Simulacion,26488,0
QuestGalaxy,Simulacion,53572,14
EmpireLegends,Accion,19885,15
LegendsGalaxy,RPG,46142,21
WarriorEmpire,Simulacion,18907,18
LegendsEmpire,RPG,49222,72
QuestWarrior,Estrategia,5855,68
GalaxyDragon,Accion,18352,8
DragonEmpire,Deportes,16010,41
QuestGalaxy,Simulacion,62186,60
EmpireDragon,Accion,63374,37
GalaxyDragon,Accion,54021,12
GalaxyDragon,Simulacion,42080,57
WarriorDragon,Accion,8863,97
QuestDragon,Estrategia,32112,70
DragonGalaxy,RPG,20931,86
LegendsQuest,Estrategia,23265,90
QuestDragon,Estrategia,50775,87
QuestGalaxy,Accion,55891,94
QuestWarrior,Deportes,14683,73
QuestLegends,RPG,56756,7
LegendsQuest,Deportes,9956,56
DragonLegends,Aventura,66696,24
DragonEmpire,Accion,50832,67
WarriorLegends,Estrategia,48272,72
DragonQuest,Estrategia,58170,89
LegendsWarrior,Estrategia,32587,36
WarriorGalaxy,RPG,12306,16
LegendsDragon,Deportes,13431,13
EmpireEmpire,Aventura,46375,5
DragonWarrior,Estrategia,66810,100
GalaxyLegends,Simulacion,23663,91
GalaxyDragon,RPG,4002,40
EmpireDragon,Simulacion,68817,94
GalaxyWarrior,Aventura,19285,43
DragonQuest,RPG,31523,62
GalaxyGalaxy,Aventura,55260,96
DragonQuest,Estrategia,23084,39
WarriorQuest,Aventura,50174,58
QuestDragon,Deportes,3035,1
GalaxyGalaxy,Deportes,30613,28
LegendsGalaxy,Simulacion,38666,6
EmpireGalaxy,Deportes,35109,15
QuestLegends,Accion,49382,14
LegendsDragon,Aventura,33414,9
WarriorQuest,Accion,27763,51
LegendsLegends,RPG,55801,34
EmpireGalaxy,Estrategia,64069,3
QuestGalaxy,Aventura,8319,79
GalaxyLegends,RPG,64121,16
LegendsGalaxy,Accion,47398,30
GalaxyGalaxy,RPG,4914,87
EmpireLegends,Deportes,45328,76
WarriorDragon,Simulacion,12662,73
DragonQuest,Accion,21037,33
DragonWarrior,Accion,61014,1
GalaxyDragon,Accion,35581,52
DragonLegends,Simulacion,51249,88
LegendsLegends,Simulacion,14733,63
EmpireLegends,Deportes,48075,88
EmpireEmpire,Simulacion,12059,52
QuestQuest,Aventura,61725,84
QuestLegends,RPG,604,80
DragonDragon,Aventura,32153,31
LegendsWarrior,Accion,65348,94
DragonEmpire,Aventura,13702,70
GalaxyEmpire,Simulacion,42118,4
WarriorLegends,Aventura,49336,59
EmpireLegends,Aventura,42434,78
WarriorGalaxy,Simulacion,1257,77
WarriorGalaxy,Estrategia,21686,92
QuestWarrior,Simulacion,35179,76
EmpireEmpire,Accion,30055,1
QuestLegends,Accion,67125,76
EmpireGalaxy,Accion,15179,29
EmpireQuest,Accion,19214,69
LegendsWarrior,Accion,24318,97
DragonEmpire,RPG,55564,56
LegendsDragon,Estrategia,48435,71
EmpireEmpire,Estrategia,44659,16
EmpireLegends,RPG,68807,31
GalaxyWarrior,Accion,24668,53
GalaxyWarrior,Aventura,39264,42
LegendsDragon,Accion,21586,35
DragonWarrior,Estrategia,28185,94
GalaxyEmpire,Estrategia,57783,55
DragonGalaxy,Aventura,18266,44
GalaxyGalaxy,Accion,37969,70
LegendsEmpire,Estrategia,52767,69
EmpireLegends,Accion,31784,89
EmpireLegends,Estrategia,67025,32
GalaxyQuest,Simulacion,62224,47
WarriorGalaxy,Estrategia,32501,56
EmpireLegends,RPG,65285,73
QuestQuest,Estrategia,11476,13
WarriorLegends,RPG,56740,80
DragonGalaxy,Estrategia,12043,97
EmpireEmpire,Accion,16997,26
QuestGalaxy,Estrategia,42123,11
EmpireGalaxy,Accion,62723,21
EmpireQuest,Simulacion,17895,41
DragonQuest,RPG,47782,35
LegendsDragon,RPG,53524,37
GalaxyDragon,Aventura,912,61
DragonEmpire,Aventura,5750,48
DragonQuest,Deportes,51254,13
LegendsQuest,Simulacion,62381,47
EmpireDragon,Simulacion,2613,51
DragonGalaxy,Accion,13540,34
WarriorWarrior,Deportes,54621,78
DragonEmpire,Accion,42696,57
LegendsWarrior,Aventura,29840,33
LegendsEmpire,Estrategia,6713,79
GalaxyWarrior,Simulacion,63856,23
EmpireQuest,Estrategia,18829,75
QuestWarrior,RPG,10485,59
WarriorLegends,Accion,4092,42
EmpireGalaxy,Simulacion,23835,60
GalaxyEmpire,Deportes,24546,76
DragonDragon,Simulacion,33381,12
GalaxyLegends,RPG,7637,74
QuestDragon,RPG,65243,15
EmpireLegends,RPG,56648,73
DragonDragon,Aventura,3107,50
GalaxyEmpire,Simulacion,14294,51
WarriorWarrior,RPG,28449,73
LegendsGalaxy,Accion,52385,62
WarriorWarrior,Aventura,49077,26
EmpireEmpire,Aventura,24357,65
LegendsDragon,Accion,29681,7
WarriorWarrior,Aventura,54858,31
LegendsDragon,RPG,45412,40
DragonEmpire,Aventura,61624,82
QuestGalaxy,RPG,12636,13
QuestWarrior,Estrategia,14135,19
GalaxyDragon,Simulacion,33182,48
QuestLegends,Simulacion,36464,70
EmpireEmpire,RPG,57973,44
GalaxyGalaxy,Accion,14863,34
QuestEmpire,RPG,13542,28
EmpireEmpire,Aventura,55672,75
EmpireDragon,Accion,49359,0
EmpireWarrior,Aventura,9960,69
DragonQuest,RPG,35182,61
EmpireEmpire,Accion,26696,7
WarriorDragon,Aventura,62421,57
EmpireEmpire,Estrategia,19132,6
GalaxyDragon,RPG,67716,57
GalaxyEmpire,Simulacion,23576,75
GalaxyDragon,RPG,60441,20
GalaxyDragon,Simulacion,9320,3
LegendsQuest,RPG,2123,18
DragonGalaxy,Simulacion,37788,35
GalaxyEmpire,Simulacion,13606,30
LegendsWarrior,Simulacion,40637,97
QuestWarrior,RPG,53090,68
LegendsGalaxy,RPG,56361,88
DragonGalaxy,Estrategia,377,36
WarriorEmpire,RPG,55749,8
EmpireEmpire,Estrategia,44653,97
EmpireDragon,RPG,7410,93
QuestWarrior,Aventura,38035,89
QuestLegends,Estrategia,61833,53
WarriorWarrior,Simulacion,59770,69
QuestDragon,Accion,3292,82
LegendsQuest,Estrategia,53175,3
EmpireGalaxy,Simulacion,8966,41
EmpireQuest,Accion,39625,15
GalaxyQuest,Accion,41480,77
GalaxyQuest,Accion,33814,82
QuestEmpire,Accion,45133,79
QuestWarrior,Simulacion,47482,62
WarriorQuest,Estrategia,15610,4
QuestQuest,Aventura,41000,40
EmpireLegends,Estrategia,58428,6
GalaxyGalaxy,RPG,29058,45
EmpireWarrior,Simulacion,6109,4
DragonLegends,Deportes,6864,8
GalaxyLegends,Accion,11055,10
WarriorQuest,Deportes,54778,18
GalaxyWarrior,Simulacion,69593,18
WarriorWarrior,RPG,15337,48
DragonWarrior,Deportes,43757,65
WarriorLegends,Accion,29437,20
EmpireQuest,RPG,10240,33
LegendsDragon,Accion,17419,80
QuestEmpire,Deportes,45243,68
GalaxyWarrior,Accion,7227,20
WarriorGalaxy,Estrategia,27188,62
LegendsWarrior,RPG,20075,30
GalaxyDragon,Aventura,23299,26
GalaxyWarrior,Deportes,8491,94
QuestDragon,Estrategia,19417,23
GalaxyDragon,RPG,44573,7
DragonWarrior,Deportes,39323,30
DragonEmpire,Aventura,9996,8
DragonEmpire,Deportes,3989,52
WarriorGalaxy,Simulacion,43740,91
GalaxyEmpire,Accion,28863,6
WarriorQuest,Simulacion,46857,63
WarriorGalaxy,Aventura,51599,23
QuestLegends,Aventura,64491,80
QuestEmpire,Estrategia,9454,66
EmpireGalaxy,RPG,49761,84
WarriorGalaxy,RPG,52324,47
LegendsEmpire,Deportes,28074,5
LegendsDragon,RPG,11470,63
WarriorWarrior,Accion,10456,30
QuestQuest,Accion,41490,21
DragonQuest,Simulacion,27805,9
QuestLegends,RPG,13400,45
QuestDragon,Accion,35322,20
DragonEmpire,Deportes,61313,20
DragonWarrior,Estrategia,23120,91
EmpireWarrior,Aventura,40443,91
WarriorLegends,Estrategia,63119,18
EmpireGalaxy,Accion,13517,99
EmpireGalaxy,Estrategia,42656,95
DragonWarrior,RPG,17013,3
QuestEmpire,Deportes,12321,91
EmpireQuest,Estrategia,63811,30
EmpireLegends,Simulacion,41271,72
WarriorQuest,Estrategia,47232,57
QuestLegends,Estrategia,45860,61
QuestLegends,Accion,15377,83
WarriorEmpire,Accion,43785,70
EmpireWarrior,Simulacion,27260,95
DragonWarrior,Aventura,33500,4
GalaxyDragon,RPG,19627,28
GalaxyGalaxy,Estrategia,19749,45
QuestQuest,Aventura,1097,53
EmpireDragon,RPG,47884,72
DragonLegends,Aventura,7975,2
QuestEmpire,Aventura,41246,5
WarriorLegends,Aventura,51937,39
DragonEmpire,Simulacion,30959,75
EmpireQuest,Simulacion,15757,56
QuestDragon,Accion,24064,50
EmpireLegends,Accion,7257,6
DragonGalaxy,Accion,16132,23
DragonWarrior,Accion,14834,75
GalaxyWarrior,Deportes,53406,11
GalaxyDragon,RPG,67360,80
QuestLegends,Estrategia,4093,24
GalaxyQuest,Accion,12359,0
EmpireLegends,Simulacion,12474,28
LegendsQuest,Estrategia,62504,32
EmpireEmpire,Accion,64556,12
LegendsGalaxy,Accion,4885,56
LegendsQuest,Deportes,64065,79
QuestLegends,Accion,67423,97
WarriorWarrior,Deportes,43795,23
GalaxyDragon,Estrategia,45279,6
GalaxyLegends,Deportes,63109,85
EmpireLegends,Accion,28335,61
EmpireGalaxy,Deportes,2090,90
LegendsEmpire,Accion,22099,61
QuestEmpire,Simulacion,59492,91
DragonDragon,Estrategia,18730,72
WarriorEmpire,Deportes,7712,55
LegendsDragon,RPG,54837,83
EmpireEmpire,Simulacion,14308,43
EmpireQuest,Deportes,57909,13
EmpireWarrior,Estrategia,56737,67
DragonWarrior,Estrategia,9084,12
GalaxyWarrior,Estrategia,3350,45
WarriorQuest,Estrategia,16786,8
WarriorQuest,Aventura,10701,47
DragonDragon,Deportes,14130,9
QuestGalaxy,Estrategia,40834,41
DragonWarrior,Simulacion,23754,61
DragonDragon,Deportes,54180,42
WarriorLegends,Simulacion,30093,65
WarriorGalaxy,Simulacion,54687,91
DragonGalaxy,Simulacion,57525,77
DragonEmpire,Simulacion,38639,8
WarriorEmpire,Estrategia,25424,6
DragonEmpire,Accion,67313,29
QuestQuest,RPG,15363,19
DragonLegends,Accion,1002,47
EmpireWarrior,Simulacion,43798,7
LegendsGalaxy,Accion,27396,22
EmpireLegends,Accion,321,70
QuestEmpire,Aventura,49673,97
DragonLegends,Aventura,10569,86
EmpireEmpire,Simulacion,14422,47
GalaxyGalaxy,Aventura,4029,76
LegendsEmpire,RPG,43948,83
DragonLegends,Accion,48384,51
LegendsWarrior,Aventura,58395,24
LegendsLegends,Accion,16591,74
WarriorGalaxy,Aventura,2599,15
GalaxyLegends,RPG,61816,92
LegendsGalaxy,RPG,32761,69
DragonDragon,Deportes,53106,18
EmpireWarrior,Simulacion,44630,69
EmpireGalaxy,Aventura,1475,77
QuestEmpire,Estrategia,34109,7
DragonLegends,Aventura,59290,82
QuestLegends,RPG,52889,65
LegendsWarrior,Estrategia,41403,95
WarriorEmpire,Aventura,34334,14
EmpireQuest,Estrategia,32806,80
QuestQuest,Estrategia,29913,62
DragonQuest,RPG,51620,32
QuestWarrior,Aventura,11370,38
QuestWarrior,RPG,48689,10
WarriorQuest,Aventura,16175,30
EmpireDragon,Aventura,14310,93
EmpireEmpire,Aventura,56109,12
GalaxyGalaxy,Simulacion,19521,10
WarriorQuest,Estrategia,32643,52
QuestGalaxy,Deportes,9415,92
GalaxyWarrior,Accion,21067,96
LegendsDragon,Deportes,43225,83
QuestQuest,Estrategia,15956,77
GalaxyWarrior,RPG,26920,17
GalaxyEmpire,RPG,67890,78
LegendsQuest,Aventura,5574,82
LegendsGalaxy,Estrategia,62486,41
WarriorQuest,Simulacion,48718,30
EmpireWarrior,Deportes,50874,79
WarriorWarrior,Estrategia,22573,30
QuestGalaxy,Simulacion,38123,91
GalaxyLegends,Estrategia,34209,77
GalaxyGalaxy,Simulacion,57101,45
GalaxyWarrior,Estrategia,58863,0
GalaxyDragon,Accion,27109,54
LegendsDragon,Aventura,65677,41
GalaxyEmpire,Estrategia,346,93
DragonDragon,RPG,23096,79
DragonQuest,Estrategia,17150,30
QuestLegends,Accion,47023,28
LegendsGalaxy,RPG,60957,51
DragonEmpire,Simulacion,17727,23
WarriorDragon,Estrategia,39253,91
GalaxyDragon,RPG,55830,96
GalaxyDragon,Estrategia,56037,88
EmpireQuest,Deportes,49180,44
GalaxyGalaxy,Simulacion,12122,97
DragonLegends,Simulacion,25331,22
DragonLegends,RPG,3249,37
EmpireGalaxy,Simulacion,40017,41
LegendsLegends,Accion,1993,95
WarriorWarrior,Accion,9477,78
GalaxyWarrior,Aventura,23749,77
EmpireWarrior,RPG,21115,43
GalaxyQuest,Deportes,68497,17
EmpireWarrior,Accion,15879,71
LegendsLegends,Deportes,35892,76
EmpireEmpire,Deportes,21417,47
QuestDragon,Estrategia,36654,94
DragonGalaxy,Estrategia,56182,71
DragonWarrior,Estrategia,33140,53
WarriorQuest,Simulacion,25676,56
LegendsEmpire,RPG,17101,94
GalaxyWarrior,Accion,19528,8
EmpireGalaxy,Deportes,55339,24
DragonEmpire,Accion,12459,75
